time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
,in,out,out,out,out,out,out,in
1,Man,-0.068609346,0.006139207,396.5718174,0.203856684,3.212303758,31.68706894,6
1,Ptuber,3.217459305,0.039395312,252.0272495,1.227341109,3.037375586,31.21416855,3
1,Ptuber,2.137772354,0.032938611,278.4657079,1.026505715,3.033888585,31.29536438,3.3
1,Byucc,4.513729601,0.066728864,273.9586895,1.865552006,2.762035801,30.92289925,6
1,Ptuber,4.575723316,0.054850183,249.059795,1.618711853,2.895779791,31.11048698,4.8
1,Man,2.410284933,0.038043553,280.3984391,1.164962577,2.995246646,31.4240303,6
1,Byucc,6.953375397,0.100534411,270.8057621,2.71985157,2.703385578,30.90450668,6
1,Ptuber,3.335542262,0.032572833,219.2992974,0.999860022,2.993576692,31.18028259,4.8
2,Man,0.180552225,0.005316362,324.4500876,0.194399491,3.537442355,32.3613205,6
2,Ptuber,3.674287103,0.032865081,203.7489283,1.09965345,3.25979344,31.48433113,3
2,Ptuber,4.475235247,0.038827547,198.2965326,1.260728997,3.169782571,31.23766327,3.3
2,Byucc,2.825701672,0.030914902,236.0554997,0.971819889,3.072890308,31.02984428,6
2,Ptuber,6.005454696,0.071946429,247.6841449,2.198222914,3.015751097,31.18953133,4.8
2,Man,1.750784485,0.02905174,284.8584689,0.931758418,3.131902478,31.30943108,6
2,Byucc,5.172570886,0.054302214,229.3465902,1.659863868,3.012029254,30.98962784,6
2,Ptuber,5.362969289,0.052952409,219.9655393,1.648784781,3.05744762,31.14058304,4.8
3,Man,0.138423783,0.004870576,331.8572961,0.189601167,3.765290704,32.96845245,6
3,Ptuber,3.27659287,0.033994422,227.5177874,1.163665748,3.337353554,31.63547325,3
3,Ptuber,4.786410885,0.046714247,217.8510017,1.553764575,3.254499954,31.41702461,3.3
3,Byucc,3.16595436,0.030966606,218.5854166,0.992606235,3.135268046,31.10556984,6
3,Ptuber,5.396273357,0.067819862,254.1416696,2.0792133,3.024547801,31.03212357,4.8
3,Man,4.703068219,0.076181301,282.4479169,2.211983335,2.882492736,30.84840775,6
3,Byucc,6.192866211,0.064112122,226.6935717,1.948521622,3.004863662,31.0456562,6
3,Ptuber,4.7880881,0.046458701,217.2238247,1.473412145,3.109037298,31.15860558,4.8
4,Man,0.061851995,0.005934326,360.8079171,0.21679928,3.534761349,32.13540268,6
4,Ptuber,5.071216227,0.05578004,235.9838497,1.834130068,3.219384514,31.31157303,3
4,Ptuber,6.453883584,0.063138593,218.0367047,2.055801487,3.194453714,31.31625557,3.3
4,Byucc,2.77473365,0.029979595,234.1001574,0.959610935,3.12552506,31.04220581,6
4,Ptuber,2.764874208,0.042146226,275.8541336,1.394159737,3.233371686,31.53903198,4.8
4,Man,4.340873913,0.042897109,220.0893618,1.348661372,3.079483285,31.40205574,6
4,Byucc,5.574400724,0.064775816,243.4437692,1.999021178,3.047423352,31.12121773,6
4,Ptuber,4.862031523,0.055571022,241.2961632,1.770248408,3.126008543,31.28158379,4.8
5,Man,0.465415017,0.009629449,301.6094611,0.351354495,3.531131072,32.17604446,6
5,Ptuber,5.912949953,0.055747078,211.1349025,1.908326782,3.347443941,31.66230774,3
5,Ptuber,5.447875171,0.048420031,201.3403394,1.670489236,3.368239814,31.7972393,3.3
5,Byucc,2.435216275,0.024587469,223.701783,0.806764143,3.195297267,31.14848328,6
5,Ptuber,3.260888119,0.041843852,256.4352994,1.397229065,3.26283355,31.40474319,4.8
5,Man,4.150747862,0.04280339,226.1538673,1.400325203,3.203380108,31.48906708,6
5,Byucc,5.929824804,0.064104731,233.2073885,1.991448839,3.065067207,31.1400547,6
5,Ptuber,4.284271816,0.033646801,178.9185078,1.130103127,3.27349033,31.49030685,4.8
6,Man,1.355414041,0.015441797,239.6123843,0.557002396,3.495646087,32.1126976,6
6,Ptuber,4.461032423,0.041437673,208.3094757,1.429452118,3.359936379,31.67280388,3
6,Ptuber,8.833233905,0.078102688,199.2453003,2.604379066,3.27643663,31.70115471,3.3
6,Byucc,2.473983771,0.027166878,236.1275146,0.892487017,3.199159975,31.27310371,6
6,Ptuber,4.859835352,0.053182523,234.9925362,1.720072147,3.167126283,31.40740585,4.8
6,Man,5.230953933,0.054745891,228.2237172,1.744557474,3.130867161,31.36977768,6
6,Byucc,5.842060352,0.060294119,226.0381879,1.905300664,3.110759688,31.32058334,6
6,Ptuber,6.050372988,0.049285788,185.4691254,1.601646641,3.179460177,31.32369041,4.8
7,Man,2.18029168,0.019700864,212.8521286,0.320742362,1.607301037,18.94441032,6
7,Ptuber,0.574519458,0.009263719,291.5217648,0.149738004,1.589252244,18.47596931,3
7,Ptuber,0.248038074,0.014462715,363.2284078,0.22694876,1.545211978,18.20380592,3.3
7,Byucc,0.025828456,0.003136305,377.1695524,0.04779777,1.497402875,17.83123398,6
7,Ptuber,-0.137773816,0.004742833,435.8707559,0.072303201,1.497984129,17.9794693,4.8
7,Man,0.046958701,0.004606455,374.4153198,0.068983242,1.472114927,17.72831535,6
7,Byucc,-0.267448807,0.001611931,652.8468706,0.024229114,1.476060207,17.74018288,6
7,Ptuber,0.420245824,0.009872782,322.9613923,0.146019824,1.455848776,17.66119003,4.8
8,Man,1.096748541,0.012326609,250.0840678,0.183194225,1.465114311,18.17477417,6
8,Ptuber,1.04533671,0.019040721,303.4569551,0.2828185,1.464588713,18.23714256,3
8,Ptuber,0.634972029,0.016578735,329.9330033,0.238972194,1.420953045,17.97096825,3.3
8,Byucc,-0.382308552,0.00144215,810.6703193,0.020457675,1.393730763,17.70340157,6
8,Ptuber,0.488804697,0.020843897,354.0454284,0.28577819,1.354684063,17.62038612,4.8
8,Man,3.003908587,0.039251572,269.0000406,0.513395872,1.302182965,17.48198891,6
8,Byucc,0.01189371,0.001277925,376.4133318,0.017847713,1.372416632,17.60805511,6
8,Ptuber,1.047063089,0.012575677,258.9368172,0.174531208,1.368139702,17.71569443,4.8
9,Man,1.417845146,0.01328231,221.6835066,0.18830604,1.399384978,17.86387444,6
9,Ptuber,0.864107107,0.031066609,346.7530433,0.431517193,1.374895836,17.74296188,3
9,Ptuber,0.753674309,0.022726874,338.4793318,0.313884364,1.364666136,17.66379356,3.3
9,Byucc,-0.322331655,0.002353746,608.0059343,0.032524749,1.359124322,17.51454735,6
9,Ptuber,0.718932104,0.0093047,268.8310994,0.127025787,1.34524395,17.48999786,4.8
9,Man,1.732606604,0.017091035,230.0780623,0.227494693,1.315765404,17.44657135,6
9,Byucc,-0.103430119,0.001623487,492.2223725,0.0222581,1.348047573,17.44082069,6
9,Ptuber,0.67077911,0.011877963,301.7692428,0.161189323,1.338126663,17.46768379,4.8
10,Man,1.031056613,0.011632307,249.491469,0.165053236,1.398998181,17.85422516,6
10,Ptuber,0.526955548,0.03721692,368.6024924,0.515760373,1.372864221,17.7814827,3
10,Ptuber,0.518345928,0.029573387,363.4851215,0.405784837,1.357237129,17.65816498,3.3
10,Byucc,-0.486040466,0.001834593,810.6606558,0.025451472,1.363316645,17.54045486,6
10,Ptuber,0.560953764,0.020016806,346.7824452,0.270368795,1.334290703,17.51248741,4.8
10,Man,0.17551928,0.005988221,344.8024468,0.081754839,1.34370961,17.4737072,6
10,Byucc,-0.029298609,0.001195728,429.9344608,0.01639755,1.347493897,17.45753098,6
10,Ptuber,0.805174059,0.014904802,305.5557133,0.200605759,1.327717802,17.44750977,4.8
11,Man,1.020918563,0.009817902,226.091187,0.141623247,1.420887861,17.93608856,3.6
11,Ptuber,0.474437568,0.057469944,377.9026145,0.778382498,1.349134721,17.69726753,3
11,Ptuber,0.65917737,0.045915142,368.2537521,0.619719828,1.341347221,17.61872101,3.3
11,Byucc,-0.594609611,0.002653446,746.0949222,0.036650461,1.358842231,17.4877491,6
11,Ptuber,0.665102862,0.021466522,342.1003016,0.289306719,1.332680693,17.47556114,4.8
11,Man,0.853573868,0.015299873,302.6060293,0.206831469,1.335383204,17.48344421,6
11,Byucc,-0.179302831,0.001502657,580.1659223,0.020624219,1.349486232,17.4206295,6
11,Ptuber,0.613032598,0.014609829,324.7611357,0.197392489,1.333458217,17.42915726,4.8
12,Man,0.425739299,0.002312873,99.37968917,0.034275885,1.45790991,18.14125443,3.6
12,Ptuber,0.285706229,0.087550436,386.102951,1.157594444,1.327213402,17.67162132,3
12,Ptuber,0.217790279,0.078498414,387.0833309,1.025605361,1.30961321,17.5442009,3.3
12,Byucc,-0.698590696,0.003991022,668.5047475,0.055324413,1.365251735,17.52417564,6
12,Ptuber,-0.319568445,0.015938438,423.1073051,0.217527038,1.348418514,17.52655029,4.8
12,Man,1.110295328,0.041796063,350.4201291,0.542872,1.295919366,17.44305229,6
12,Byucc,-0.517298595,0.002636805,702.3838083,0.036386444,1.358484639,17.49061584,6
12,Ptuber,0.20612609,0.028368469,379.5591173,0.379376632,1.32624137,17.48821068,4.8
